Sentence,Translation,English Translation,Error,Explanation 
She's obviously proven herself and there's a lot of feeling of regret going on around here.,E' evidente che ha dimostrato se stessa e c'e' un sacco di rimorso da queste parti.,"It's obvious she proved herself, and there's a lot of remorse around here.",,
Is that common in your tribe?,E' comune nella tua tribu'?,Is it common in your tribe?,,
I can only speak for myself.,Posso solo parlare per me stesso.,I can only speak for myself.,,
"I'm not sure where everyone else is at, but definite feeling of regret.","Non so dove siano tutti gli altri, ma... un certo rimpianto.","I don't know where everyone else is, but... some regret.",,
Yep.,Si'.,Yeah.,,
"Sala, do you regret voting Hannah out?","Sala, ti penti di aver respinto Hannah?","Sala, do you regret rejecting Hannah?",,
Regret voting anyone out?,Rimpiangere di aver respinto qualcuno?,Do you regret rejecting someone?,,
"You know, you come together, you're a family.","Sai, se ti unisci, sei una famiglia.","You know, if you join, you're a family.",,
You don't want to vote a family member out.,Non vuoi votare contro un membro della famiglia.,You don't want to vote against a family member.,,
Sucks.,Fa schifo.,It sucks.,,
"But, you know, big ups to Hannah.","Ma... sai, un grande passo avanti per Hannah.","But, you know, a big step forward for Hannah.",,
"She always been a strong chick and she's proven to all of us she's dangerous, man.","E' sempre stata una ragazza forte e ha dimostrato a tutti noi che e' pericolosa, amico.","She's always been a strong girl, and she's proven to all of us that she's dangerous, man.",,
"Keep being dangerous, girl.","Continua a essere pericolosa, ragazza.","She's still dangerous, girl.",,
"You got this, man.","Ce la puoi fare, amico.","You got this, man.",,
"Hannah, you need to head back and await your next opponent and your next duel.","Hannah, devi tornare indietro e aspettare il tuo prossimo avversario e il tuo prossimo duello.","Hannah, you have to go back and wait for your next opponent and your next duel.",,
"Everyone else, grab your stuff and head back to your camps.","Tutti gli altri, prendete la vostra roba e tornate ai vostri campi.","Everyone else, grab your stuff and go back to your fields.",,
Look forward to seeing you at the next challeng Next time on Survivor New zealand.,Non vedo l'ora di vedervi alla prossima chiacchierata La prossima volta su Survivor Nuovo zeloand.,I can't wait to see you at the next chat next time on Survivor New Zeloand.,,
I just want trust.,Voglio solo fiducia.,I just want to trust you.,,
That's the main thing that I'm after in this game.,Questa è la cosa principale che sto cercando in questo gioco.,This is the main thing I'm looking for in this game.,,
New deals are on the table at Mogaton.,Nuove offerte sono sul tavolo a Mogaton.,New offers are on the table in Mogaton.,,
So will you vote Tom out if it comes to it.,"Anche tu voterai Tom, se si tratta di questo.","You'll vote for Tom, too, if that's what it's about.",,
And new targets are in sights at Hermosa.,E nuovi bersagli sono in vista a Hermosa.,And new targets are in sight in Hermosa.,,
"If we lost immunity tomorrow, me and Mike were thinking, nah, I don't trust Georgia.","Se domani perdessimo l'immunita', io e Mike pensavamo, no, non mi fido della Georgia.","If we lose immunity tomorrow, Mike and I thought, no, I don't trust Georgia.",,
I don't know why.,Non so perche'.,I don't know why.,,
I just can't quite pin it.,Non riesco proprio a incolparlo.,I just can't blame him.,,
"For the first time, immunity is up for grabs.","Per la prima volta, l'immunita' e' pronta.","For the first time, immunity is ready.",,
"Oh, I felt that Michael and tribes put everything on the line.","Oh, sentivo che Michael e le tribu' mettevano tutto in gioco.","Oh, I felt that Michael and the tribes were putting everything into play.",,
Run.,Corri.,Run.,,
"Faster, faster, faster.","Piu' veloce, piu' veloce, piu' veloce.","Faster, faster, faster.",,
Straight five.,Cinque dritti.,Five heads.,,
Mine.,La mia.,Mine.,,
Go.,Vai.,Go.,,
"Go, Tom, go.","Vai, Tom, vai.","Go, Tom, go.",,
I came in claiming that I had the most knowledge about the game.,Sono venuto dicendo che avevo più conoscenza del gioco.,I came by saying I had more knowledge of the game.,,
At no point during my time here was that disproven.,In nessun momento durante il mio tempo qui è stato che smentito.,At no time during my time here was that denial.,,
There is nothing in the last few days of my experience of Survivor that I'd do differently.,Non c'è niente negli ultimi giorni della mia esperienza di sopravvissuto che farei diversamente.,There's nothing in the last few days of my surviving experience that I would do differently.,,
I think that looking back and overthinking it and regretting is just going to drive you bonkers.,Penso che guardare indietro e pensarci troppo e rimpiangere vi fara' impazzire.,I think looking back and thinking too much about it and regretting it will drive you crazy.,,
It.,Quello.,That.,,
